Country or Area,Year,Value
Croatia,2010,28171.06129
Croatia,2009,28577.63761
Croatia,2008,30767.53892
Croatia,2007,31720.87233
Croatia,2006,30283.88135
Croatia,2005,29876.44059
Croatia,2004,29386.44503
Croatia,2003,29369.44038
Croatia,2002,27906.89356
Croatia,2001,26840.69089
Croatia,2000,25653.64726
Croatia,1999,25955.208
Croatia,1998,24667.91125
Croatia,1997,24543.04649
Croatia,1996,23180.04876
Croatia,1995,22686.42501
Croatia,1994,22015.02367
Croatia,1993,22930.42294
Croatia,1992,22932.56659
Croatia,1991,24818.23438
Croatia,1990,31454.18205
Cyprus,2021,8670.015238
Cyprus,2020,8502.857428
Cyprus,2019,8891.618753
Cyprus,2018,8821.195682
Cyprus,2017,8966.067432
Cyprus,2016,8790.122519
Cyprus,2015,8343.271573
Cyprus,2014,8294.915276
Cyprus,2013,7920.23498
Cyprus,2012,8624.684298
Cyprus,2011,9158.463177
Cyprus,2010,9455.867353
Cyprus,2009,9789.978547
Cyprus,2008,10025.39989
Cyprus,2007,9803.649522
Cyprus,2006,9470.487555
Cyprus,2005,9222.441576
Cyprus,2004,9077.631146
Cyprus,2003,8874.123558
Cyprus,2002,8482.312591
Cyprus,2001,8247.747419
Cyprus,2000,8306.443173
Cyprus,1999,8032.289471
Cyprus,1998,7754.896462
Cyprus,1997,7439.032833
Cyprus,1996,7345.028102
Cyprus,1995,6972.183055
Cyprus,1994,7057.36649
Cyprus,1993,6800.583924
Cyprus,1992,6513.674564
Cyprus,1991,6076.349442
Cyprus,1990,5571.727812
Czechia,2021,118381.6906
Czechia,2020,113072.0523
Czechia,2019,123451.2606
Czechia,2018,129180.0551
Czechia,2017,130951.9356
Czechia,2016,130106.966
Czechia,2015,128506.449
Czechia,2014,127080.0414
Czechia,2013,129251.7067
Czechia,2012,134610.1818
Czechia,2011,138568.0019
Czechia,2010,140167.5718
Czechia,2009,137280.2937
Czechia,2008,146768.5864
Czechia,2007,151829.8912
Czechia,2006,150166.7732
Czechia,2005,148934.988
Czechia,2004,151009.9887
Czechia,2003,150152.8925
Czechia,2002,146965.7494
Czechia,2001,150760.1527
Czechia,2000,151139.2095
Czechia,1999,141062.0075
Czechia,1998,151034.5942
Czechia,1997,157200.3677
Czechia,1996,161709.6513
Czechia,1995,158371.9505
Czechia,1994,159410.6379
Czechia,1993,168323.6687
Czechia,1992,175034.8461
Czechia,1991,180859.6654
Czechia,1990,198775.2715
Denmark,2021,45515.57909
Denmark,2020,44483.80007
Denmark,2019,46941.67102
Denmark,2018,50726.02156
Denmark,2017,50773.91404
Denmark,2016,52906.1519
Denmark,2015,50834.6194
Denmark,2014,53608.89602
Denmark,2013,57779.38536
Denmark,2012,56058.80833
Denmark,2011,60652.62385
Denmark,2010,65857.4477
Denmark,2009,65544.85636
Denmark,2008,68291.3512
Denmark,2007,71880.27446
Denmark,2006,76500.41366
Denmark,2005,68748.18197
Denmark,2004,73060.07431
Denmark,2003,79006.62259
Denmark,2002,73871.15213
Denmark,2001,74398.10786
Denmark,2000,72662.44879
Denmark,1999,76824.89174
Denmark,1998,79455.93794
Denmark,1997,83411.4081
Denmark,1996,92928.68855
Denmark,1995,79748.72632
Denmark,1994,82598.77103
Denmark,1993,78670.86384
Denmark,1992,76517.57785
Denmark,1991,82432.99574
Denmark,1990,71820.93502
Estonia,2021,12615.17151
Estonia,2020,11407.08316
Estonia,2019,14537.85165
Estonia,2018,20030.10325
Estonia,2017,20896.11461
Estonia,2016,19603.12867
Estonia,2015,17972.59119
Estonia,2014,21040.76293
Estonia,2013,21865.08033
Estonia,2012,19962.92918
Estonia,2011,21079.72587
Estonia,2010,21111.59504
Estonia,2009,16508.2585
Estonia,2008,19941.84217
Estonia,2007,22046.44174
Estonia,2006,18490.05402
Estonia,2005,19140.62128
Estonia,2004,19362.26052
Estonia,2003,19233.27664
Estonia,2002,17300.07967
Estonia,2001,17887.9999
Estonia,2000,17453.33886
Estonia,1999,17829.24125
Estonia,1998,18992.04107
Estonia,1997,20719.24744
Estonia,1996,21007.73786
Estonia,1995,20063.92447
Estonia,1994,22225.02273
Estonia,1993,21751.65312
Estonia,1992,27215.5147
Estonia,1991,37402.71456
Estonia,1990,40276.36255
EU,2021,3468394.085
EU,2020,3300463.61
EU,2019,3588259.606
EU,2018,3747655.89
EU,2017,3832777.043
EU,2016,3811406.649
EU,2015,3809061.474
EU,2014,3764333.016
EU,2013,3905193.392
EU,2012,3991710.9
EU,2011,4066020.157
EU,2010,4176794.132
EU,2009,4089028.696
EU,2008,4404071.854
EU,2007,4498310.539
EU,2006,4533404.376
EU,2005,4537296.3
EU,2004,4564128.221
EU,2003,4561695.817
EU,2002,4480931.2
EU,2001,4495319.802
EU,2000,4446889.196
EU,1999,4458980.305
EU,1998,4535002.615
EU,1997,4574168.431
EU,1996,4645355.284
EU,1995,4554457.557
EU,1994,4503905.858
EU,1993,4527256.345
EU,1992,4605654.436
EU,1991,4755619.498
EU,1990,4860553.448
Finland,2021,47799.49035
Finland,2020,47756.28097
Finland,2019,52726.0835
Finland,2018,55949.65612
Finland,2017,55030.86764
Finland,2016,57833.19555
Finland,2015,55009.23676
Finland,2014,58519.67765
Finland,2013,62700.93458
Finland,2012,62255.53291
Finland,2011,67815.56313
Finland,2010,75555.95167
Finland,2009,67693.57909
Finland,2008,71310.28682
Finland,2007,79441.35036
Finland,2006,81112.61076
Finland,2005,69704.70374
Finland,2004,81739.426
Finland,2003,85490.36893
Finland,2002,77885.70743
Finland,2001,75474.78478
Finland,2000,70136.61497
Finland,1999,72048.00632
Finland,1998,72727.18297
Finland,1997,76409.31395
Finland,1996,77729.55561
Finland,1995,71743.58807
Finland,1994,75492.41065
Finland,1993,69915.16191
Finland,1992,67681.54394
Finland,1991,69041.44926
Finland,1990,71087.75396
France,2021,420060.7559
France,2020,398297.0308
France,2019,437646.6265
France,2018,447070.0052
France,2017,465262.1545
France,2016,462641.6351
France,2015,460283.6908
France,2014,456751.0151
France,2013,487905.7979
France,2012,488200.2481
France,2011,486264.3278
France,2010,511152.9208
France,2009,506882.0992
France,2008,528088.1635
France,2007,533554.3842
France,2006,543309.9254
France,2005,553899.4784
France,2004,552209.0606
France,2003,552609.4518
France,2002,548271.4819
France,2001,554283.2631
France,2000,548714.5057
France,1999,554358.7704
France,1998,559284.2601
France,1997,544943.583
France,1996,552521.5973
France,1995,534172.1601
France,1994,528083.7959
France,1993,536244.458
France,1992,557279.9379
France,1991,566897.4262
France,1990,540830.6917
Germany,2021,760358.0081
Germany,2020,730922.6892
Germany,2019,794633.6689
Germany,2018,846171.1895
Germany,2017,881582.7789
Germany,2016,898559.8146
Germany,2015,896657.8724
Germany,2014,893394.42
Germany,2013,933505.373
Germany,2012,913347.7275
Germany,2011,907502.1587
Germany,2010,932379.1343
Germany,2009,898336.0054
Germany,2008,964974.3187
Germany,2007,964865.0603
Germany,2006,991897.3614
Germany,2005,984986.9708
Germany,2004,1010291.14
Germany,2003,1029390.014
Germany,2002,1033037.864
Germany,2001,1054869.073
Germany,2000,1040191.831
Germany,1999,1043180.832
Germany,1998,1077604.052
Germany,1997,1102187.361
Germany,1996,1137868.949
Germany,1995,1120660.808
Germany,1994,1127792.571
Germany,1993,1146306.672
Germany,1992,1155625.635
Germany,1991,1205064.579
Germany,1990,1251224.782
Greece,2021,77488.82833
Greece,2020,75464.48733
Greece,2019,86153.27249
Greece,2018,92857.12047
Greece,2017,96110.31733
Greece,2016,92274.51702
Greece,2015,95965.28726
Greece,2014,99837.25806
Greece,2013,103262.3364
Greece,2012,112923.9479
